week,date,demand,temperature_f
45,2022-11-07,544.4821299793067,31.38384610423514
46,2022-11-14,571.8537074493959,34.22703113397167
47,2022-11-21,585.9648905796935,38.35547398230196
48,2022-11-28,630.6667649269654,41.119463754170035
49,2022-12-05,618.6269392914684,36.925296734815674
50,2022-12-12,570.7252955307649,41.54837826897855
51,2022-12-19,626.577444628954,49.36563587299925
52,2022-12-26,611.3896529174364,52.925257445076916
53,2023-01-02,605.476949992351,56.545143058918164
54,2023-01-09,637.908617148866,70.17429487962386
55,2023-01-16,647.4503334564829,63.89214146070622
56,2023-01-23,642.8833023927382,69.04484353181786
57,2023-01-30,595.456043971691,71.80370045179264
58,2023-02-06,604.508399875212,73.99611615585205
59,2023-02-13,615.3624456387772,73.94787201330281
60,2023-02-20,625.4384408373227,79.73223010661282
61,2023-02-27,582.2658237923603,77.37104033319696
62,2023-03-06,582.1363793469061,80.85322494937625
63,2023-03-13,551.1100166132522,81.59439663707512
64,2023-03-20,540.4400875409879,84.37387694094053
65,2023-03-27,581.956079980281,91.72524192296214
66,2023-04-03,586.7060007142705,79.39820442222475
67,2023-04-10,542.1568125400657,86.84004679406515
68,2023-04-17,560.3430693042959,79.29010690921261
69,2023-04-24,535.872509662788,81.63469168319415
70,2023-05-01,502.6941523713705,84.8305325604984
71,2023-05-08,520.389710399218,79.8823560340961
72,2023-05-15,543.0011015023857,74.22208811134512
73,2023-05-22,497.62348916856314,72.74776861944396
74,2023-05-29,532.4773821238578,74.08073564873874
75,2023-06-05,423.66989034549965,66.75059526616164
76,2023-06-12,506.54626319454735,66.28752238002201
77,2023-06-19,486.10083131187014,62.31618544833821
78,2023-06-26,595.508106310509,56.661299364842236
79,2023-07-03,605.4940194133876,61.43183226797599
80,2023-07-10,554.8940672071334,53.28565665929432
81,2023-07-17,601.632857409978,41.74510231140043
82,2023-07-24,619.7265148729606,44.92121633303222
83,2023-07-31,652.510869066281,39.0729454443818
84,2023-08-07,608.4045352716664,40.51535760245399
85,2023-08-14,607.9068000739823,32.728758037478045
86,2023-08-21,623.2062612511229,32.200468230466285
87,2023-08-28,667.0398732040593,31.8254458601317
88,2023-09-04,661.4409239779905,31.033584812914093
89,2023-09-11,649.5876039424211,23.348623498270253
90,2023-09-18,685.6864326848294,24.868241769695587
91,2023-09-25,685.5840043132752,23.793897843575515
92,2023-10-02,717.8161247633223,23.040012302278864
93,2023-10-09,686.4916070734919,30.51509649790167
94,2023-10-16,706.1536994780604,27.086690610101297
95,2023-10-23,714.5656871350989,23.166860856432415
96,2023-10-30,697.3899800601984,31.18990507156802
97,2023-11-06,750.4481866651068,36.67695261422821
98,2023-11-13,757.9761944637607,35.642073336520404
99,2023-11-20,759.2086962697497,30.54821035491409
100,2023-11-27,759.9740309371139,36.505355379466586
101,2023-12-04,736.2522135009964,44.859038286246815
102,2023-12-11,765.8851663456992,42.23884499186757
103,2023-12-18,771.5074824809149,49.151988355811916
104,2023-12-25,762.5597781973039,53.707801752628264
105,2024-01-01,779.9678572083498,52.21920858526579
106,2024-01-08,794.3179813482077,58.437524339474315
107,2024-01-15,830.4299929243474,52.45566790841952
108,2024-01-22,785.5657447356292,62.564983687273184
109,2024-01-29,784.4752418203259,68.18399070713356
110,2024-02-05,771.9775613773384,68.29859285604009
111,2024-02-12,720.711579471212,79.79091365901874
112,2024-02-19,761.9869657730333,73.16489831125112
113,2024-02-26,757.3509349870183,78.36938251671872
114,2024-03-04,809.9589065756337,81.95590250145456
115,2024-03-11,735.5593668438748,87.37430714776079
116,2024-03-18,739.4839367013448,79.82066806924324
117,2024-03-25,722.3751401777947,88.27075747940648
118,2024-04-01,685.1830490595116,85.03069918305876
119,2024-04-08,734.1276359424498,81.83674026979777
120,2024-04-15,715.6530726741648,85.5145649455714
121,2024-04-22,708.2074077126733,83.64766636728288
122,2024-04-29,657.6874598666301,79.7630301381199
123,2024-05-06,708.0246780349099,79.89892223177975
124,2024-05-13,631.1039107709295,76.29938165454776
125,2024-05-20,674.7905674913188,75.23423178297762
126,2024-05-27,709.7226813737569,74.02833442549785
127,2024-06-03,626.000109819476,73.69974560974912
128,2024-06-10,633.4412573450975,61.924700114795534
129,2024-06-17,648.015938733107,68.57857005259558
130,2024-06-24,631.9963987192507,52.75983700909224
131,2024-07-01,606.0334142233467,54.54464471489327
132,2024-07-08,647.8973644423064,53.148851211794025
133,2024-07-15,622.1670617627632,48.66350567457836
134,2024-07-22,664.2385113510464,42.493754829262166
135,2024-07-29,634.1779120918983,40.4339380876151
136,2024-08-05,701.7096508539457,36.47905479408887
137,2024-08-12,650.1378078379059,33.338225981943516
138,2024-08-19,669.2986494355944,35.093483845930024
139,2024-08-26,706.0927506957494,31.381530481085477
140,2024-09-02,664.0505383256498,26.357590444621742
141,2024-09-09,710.1181074017001,29.648312345737335
142,2024-09-16,747.1333157140558,26.793644039848278
143,2024-09-23,684.5699847155433,27.65732013357526
144,2024-09-30,739.8158464633075,26.888886525770836
145,2024-10-07,752.1400042766364,22.731748744292158
146,2024-10-14,775.4908249374375,24.19120235662753
147,2024-10-21,735.0446231914506,29.191393534807318
148,2024-10-28,742.5664384363944,30.267430026704083
149,2024-11-04,797.6937188789149,30.247779241297863
150,2024-11-11,800.4744294900933,32.896659704793265
151,2024-11-18,806.943181112335,38.939314940141394
152,2024-11-25,816.099914508917,36.183343431557844
153,2024-12-02,796.2358640127943,42.699596982197
154,2024-12-09,823.8076418438583,43.75527543142223
155,2024-12-16,829.0021572265512,47.16748646169162
156,2024-12-23,806.3579244771851,54.68023014830182
